"NAME","RIDERSHIP_ID","YEAR","MONTH","DAY_TYPE","TOTAL_RIDES","DAILY_AVG_RIDES"
"18th",830,2021,"01","Weekday",9486,474
"18th",830,2021,"01","Saturday",1886,377
"18th",830,2021,"01","Sunday - Holiday",1644,274
"18th",830,2021,"02","Weekday",11332,567
"18th",830,2021,"02","Saturday",1837,459
"18th",830,2021,"02","Sunday - Holiday",1279,320
"18th",830,2021,"03","Weekday",13858,603
"18th",830,2021,"03","Saturday",2331,583
"18th",830,2021,"03","Sunday - Holiday",1669,417
"18th",830,2021,"04","Weekday",14736,670
"18th",830,2021,"04","Saturday",2342,586
"18th",830,2021,"04","Sunday - Holiday",1800,450
"18th",830,2021,"05","Weekday",14801,740
"18th",830,2021,"05","Saturday",3398,680
"18th",830,2021,"05","Sunday - Holiday",3169,528
"18th",830,2021,"06","Weekday",18242,829
"18th",830,2021,"06","Saturday",3049,762
"18th",830,2021,"06","Sunday - Holiday",2422,606
"18th",830,2021,"07","Weekday",19520,930
"18th",830,2021,"07","Saturday",4509,902
"18th",830,2021,"07","Sunday - Holiday",3240,648
"18th",830,2021,"08","Weekday",20970,953
"18th",830,2021,"08","Saturday",3847,962
"18th",830,2021,"08","Sunday - Holiday",3827,765
"18th",830,2021,"09","Weekday",23169,1103
"18th",830,2021,"09","Saturday",4089,1022
"18th",830,2021,"09","Sunday - Holiday",3845,769
"18th",830,2021,"10","Weekday",22277,1061
"18th",830,2021,"10","Saturday",5345,1069
"18th",830,2021,"10","Sunday - Holiday",4565,913
"18th",830,2021,"11","Weekday",21090,1004
"18th",830,2021,"11","Saturday",3265,816
"18th",830,2021,"11","Sunday - Holiday",2829,566
"18th",830,2021,"12","Weekday",19018,906
"18th",830,2021,"12","Saturday",2672,668
"18th",830,2021,"12","Sunday - Holiday",3258,543
"18th",830,2022,"01","Weekday",15483,737
"18th",830,2022,"01","Saturday",2984,597
"18th",830,2022,"01","Sunday - Holiday",2228,446
"18th",830,2022,"02","Weekday",17864,893
"18th",830,2022,"02","Saturday",3120,780
"18th",830,2022,"02","Sunday - Holiday",2055,514
"18th",830,2022,"03","Weekday",23739,1032
"18th",830,2022,"03","Saturday",3512,878
"18th",830,2022,"03","Sunday - Holiday",2659,665
"18th",830,2022,"04","Weekday",22426,1068
"18th",830,2022,"04","Saturday",4458,892
"18th",830,2022,"04","Sunday - Holiday",2538,635
"18th",830,2022,"05","Weekday",22601,1076
"18th",830,2022,"05","Saturday",4543,1136
"18th",830,2022,"05","Sunday - Holiday",5001,834
"18th",830,2022,"06","Weekday",24334,1106
"18th",830,2022,"06","Saturday",3891,973
"18th",830,2022,"06","Sunday - Holiday",3181,795
"18th",830,2022,"07","Weekday",22474,1124
"18th",830,2022,"07","Saturday",5252,1050
"18th",830,2022,"07","Sunday - Holiday",4478,746
"18th",830,2022,"08","Weekday",25838,1123
"18th",830,2022,"08","Saturday",3783,946
"18th",830,2022,"08","Sunday - Holiday",3099,775
"18th",830,2022,"09","Weekday",25561,1217
"18th",830,2022,"09","Saturday",4476,1119
"18th",830,2022,"09","Sunday - Holiday",3618,724
"18th",830,2022,"10","Weekday",24532,1168
"18th",830,2022,"10","Saturday",5870,1174
"18th",830,2022,"10","Sunday - Holiday",4977,995
"18th",830,2022,"11","Weekday",23266,1108
"18th",830,2022,"11","Saturday",3595,899
"18th",830,2022,"11","Sunday - Holiday",3059,612
"18th",830,2022,"12","Weekday",20686,985
"18th",830,2022,"12","Saturday",3609,722
"18th",830,2022,"12","Sunday - Holiday",2450,490
"18th",830,2023,"01","Weekday",19563,932
"18th",830,2023,"01","Saturday",2861,715
"18th",830,2023,"01","Sunday - Holiday",2945,491
"18th",830,2023,"02","Weekday",19847,992
"18th",830,2023,"02","Saturday",3215,804
"18th",830,2023,"02","Sunday - Holiday",2496,624
"18th",830,2023,"03","Weekday",24898,1083
"18th",830,2023,"03","Saturday",3440,860
