GEOID,Total Workers in Management Business Science and Arts Occupations,Total Workers in Service Occupations,Workers in Sales and Office Occupations,Workers in Natural Resources Construction and Maintenance Occupations,Workers in Production Transportation and Material Moving Occupations,Workers in Military Specific Occupations,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information finance insurance real estate rental and leasing,Professional scientific management and administrative and waste management services,Educational services and health care and social assistance,Arts entertainment and recreation and accommodation and food services,Other services except public administration ,Public administration,Armed forces,CLASS OF WORKER Private wage and salary workers,CLASS OF WORKER Government workers,CLASS OF WORKER Self employed workers in own not incorporated business,CLASS OF WORKER Unpaid family workers,Workers who did not work from home,TIME OF DEPARTURE 12 00 a m  to 4 59 a m ,TIME OF DEPARTURE 5 00 a m  to 5 29 a m ,TIME OF DEPARTURE 5 30 a m  to 5 59 a m ,TIME OF DEPARTURE 6 00 a m  to 6 29 a m ,TIME OF DEPARTURE 6 30 a m  to 6 59 a m ,TIME OF DEPARTURE 7 00 a m  to 7 29 a m ,TIME OF DEPARTURE 7 30 a m  to 7 59 a m ,TIME OF DEPARTURE 8 00 a m  to 8 29 a m ,TIME OF DEPARTURE 8 30 a m  to 8 59 a m ,TIME OF DEPARTURE 9 00 a m  to 11 59 p m ,Commute to work Less than 10 minutes,Commute to work 10 to 14 minutes,Commute to work 15 to 19 minutes,Commute to work  20 to 24 minutes,Commute to work 25 to 29 minutes,Commute to work 30 to 34 minutes,Commute to work 35 to 44 minutes,Commute to work 45 to 59 minutes,Commute to work 60 or more minutes,No vehicle available,X1 vehicle available,X2 vehicles available,X3 or more vehicles available,Drove alone,Carpooled,Public transportation,Householder lived in owner occupied housing units,Householder lived in renter occupied housing units,RACE White,RACE Black or African American,RACE American Indian and Alaska Native,RACE Asian,RACE Native Hawaiian and Other Pacific Islander,RACE Some other race,RACE Hispanic or Latino origin  of any race ,EDUCATION Less than high school graduate,EDUCATION High school graduate  includes equivalency ,EDUCATION Some college or associate s degree,EDUCATION Bachelor s degree,EDUCATION Graduate or professional degree,INCOME  1 to  9 999 or loss,INCOME  10 000 to  14 999,INCOME  15 000 to  24 999,INCOME  25 000 to  34 999,INCOME  35 000 to  49 999,INCOME  50 000 to  64 999,INCOME  65 000 to  74 999,INCOME  75 000 or more,Median income  dollars ,Estimate  Total  POVERTY STATUS IN THE PAST 12 MONTHS  Population for whom poverty status is determined  Below 100 percent of the poverty level,Total population,Under 5 years,X5 to 9 years,X10 to 14 years,X15 to 19 years,X20 to 24 years,X25 to 29 years,X30 to 34 years,X35 to 39 years,X40 to 44 years,X45 to 49 years,X50 to 54 years,X55 to 59 years,X60 to 64 years,X65 to 69 years,X70 to 74 years,X75 to 79 years,X80 to 84 years,X85 years and over,Median age  years ,Sex ratio  males per 100 females ,Male Total population,Male Median age  years ,Female Total population,Female Median age  years ,STATION_DESCRIPTIVE_NAME,station_id,stationname,A,U,W,Community Area,Community Area Number,Hardship Index Score,Percent of Crowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population Age 16 and Over,Percent Aged 25 and over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income
17031140701,29.4,37.1,11.4,5.9,16.3,0,0,4.8,10.1,1.4,6.2,2.4,9.7,16.8,23,18.5,5.6,1.5,0,73.7,6.5,19.6,0.2,1880,2.8,4.5,2.9,27.6,2.4,14,5.4,11.4,4.9,24,1.7,1,5.4,9.1,3.2,35.4,7,23.1,14,15.3,57.5,23.7,3.6,858,107,681,1145,1834,33.1,4,2.1,19.8,0,9.7,51.9,25.1,28.3,12.6,21.5,12.5,8.3,2,16.2,17.3,16.5,7.7,5.4,15.7,35319,6.4,2990,130,100,162,146,276,288,248,375,216,189,223,211,153,85,152,26,4,6,36.6,113.7,1591,35.5,1399,37.7,Kedzie (Brown Line),41180,Kedzie-Brown,951.5116279,725.2916667,1194.159624,Albany Park,14,44.8,6.4,12.6,6.6,19.3,31.7,32298
17031140701,29.4,37.1,11.4,5.9,16.3,0,0,4.8,10.1,1.4,6.2,2.4,9.7,16.8,23,18.5,5.6,1.5,0,73.7,6.5,19.6,0.2,1880,2.8,4.5,2.9,27.6,2.4,14,5.4,11.4,4.9,24,1.7,1,5.4,9.1,3.2,35.4,7,23.1,14,15.3,57.5,23.7,3.6,858,107,681,1145,1834,33.1,4,2.1,19.8,0,9.7,51.9,25.1,28.3,12.6,21.5,12.5,8.3,2,16.2,17.3,16.5,7.7,5.4,15.7,35319,6.4,2990,130,100,162,146,276,288,248,375,216,189,223,211,153,85,152,26,4,6,36.6,113.7,1591,35.5,1399,37.7,Kimball (Brown Line),41290,Kimball,1801.674419,1334.479167,2442.882629,Albany Park,14,44.8,6.4,12.6,6.6,19.3,31.7,32298
17031140800,52.3,10.6,23.2,6.7,7.3,0,0.8,9.1,6.8,1,12.9,5.8,14.1,20.5,17.8,7.3,3.5,0.3,0,89.7,3.6,6.7,0,2722,2,3.2,0.8,10.8,2,25.3,11.6,22.8,2.2,19.3,7,4.6,6.1,8.7,2.5,15.8,17.2,24.7,13.3,13.3,55.8,26.7,4.2,1085,259,1183,2480,3723,68,0.1,0,8.1,0,12.4,32.2,10.7,9.6,16.6,37.7,25.3,4.6,5.8,7.2,19.6,11,10.2,5.2,27.8,43594,10.4,6212,345,389,306,93,641,723,739,596,578,386,153,321,295,216,204,116,48,63,33.9,106.4,3202,30.6,3010,36,Francisco (Brown Line),40870,Francisco,581.9069767,392.5625,878.4647887,Albany Park,14,44.8,6.4,12.6,6.6,19.3,31.7,32298
17031620200,21.4,14.2,14.3,20.9,29.1,0,0,13.6,14.4,1.6,9.1,10.8,3.7,6.3,23.9,2.3,14.3,0,0,85,10.6,4.5,0,856,13.9,7.7,1.6,15.3,10,7.6,2.9,14.6,0,26.3,3.3,2.9,10.9,24.6,6.9,15,12.1,10.6,13.7,1.6,25,34.6,38.8,634,95,108,1306,642,57.9,0,0,2.1,0,19.8,65.3,24.8,31.3,25.5,14.4,4,5,7.5,11.9,20.9,17.2,5.4,4.6,11.4,33634,5.9,1948,172,64,145,86,144,148,137,85,111,89,211,101,65,147,74,114,10,45,37.8,87.7,910,44.7,1038,34.8,Pulaski (Orange Line),40960,Pulaski-Orange,1477.930233,1109.104167,3050.192488,Archer Heights,57,62.9,11,10.2,8.5,29.3,40.3,21399
17031340500,48.1,16.2,20.3,7,8.4,0,0,5.5,11.3,1.3,15,2.8,12.7,9.3,28.3,12,0,2,0,88.7,10.3,1,0,627,1.8,2.9,2.7,6.2,8.6,4.5,12.6,18.2,5.4,37.2,12,21.2,20.6,3.5,7.2,13.6,8.5,4.9,8.6,18,39.9,31.6,10.4,445,37,75,624,934,51,6,0,35.9,0,2.8,8.5,18.7,30.3,12.9,21.4,16.7,18,11.5,6.8,7.1,7.1,12.8,2.5,24,40389,34.7,1558,19,28,36,1,153,128,169,61,84,45,49,66,70,78,240,151,114,66,55.3,83.7,710,45.9,848,65.8,Sox-35th (Red Line),40190,Sox-35th-Dan Ryan,2036.418605,1574.5,2138.178404,Armour Square,34,62.9,5.7,28.3,7.1,33.6,42.7,24823
17031841100,40.1,30.7,15.3,2.7,11.3,0,0,1,5.3,0.9,4.9,5,9.4,14.8,23.4,26.6,6.3,2.6,0,84,13.7,1.4,0.8,2872,5.3,3.1,0,2.4,4.7,9.4,16.2,6.9,10.1,41.9,7.8,10.1,13.7,14.1,8.9,14.2,12.5,10.3,8.4,16.9,42.1,29.1,11.9,1248,594,648,3004,3914,10.9,3.5,1.4,81,0,1.3,1.3,40.1,19.5,12.7,16.6,11.1,20.2,8.3,16.9,6.6,12.4,9.5,1.4,14.7,24799,12.9,6990,302,245,511,268,350,272,472,257,464,627,674,466,529,240,254,264,159,636,47.1,78.8,3081,44.1,3909,52.3,Cermak-Chinatown (Red Line),41000,Cermak-Chinatown,3618.186047,2952.770833,2581.262911,Armour Square,34,62.9,5.7,28.3,7.1,33.6,42.7,24823
17031251400,31.8,36.6,21.5,0,10.2,0,0,1.9,6.4,1.3,9.6,6.1,15,9.2,26.9,6.6,4.9,12,0,75,20.8,4.2,0,1425,7.3,5,0.6,9.3,3.4,14.4,8.4,7.8,21.1,22.7,10.5,5,2.5,1.5,6.8,29.3,12.9,16.8,14.7,12.2,58.9,22.8,6.1,882,159,384,1348,2269,14.4,84.4,0,0,0,0.5,4.5,9,48.6,26.7,9.4,6.2,10.9,18.1,23.6,4.7,16.9,5.6,2.5,7.5,22254,23.5,3712,113,201,247,42,201,218,334,173,131,116,206,281,406,304,342,230,153,14,50.7,72.3,1557,52.5,2155,48.6,Austin (Green Line),41260,Austin-Lake,597.5813953,450,997.5305164,Austin,25,56.1,4.2,27.1,13.4,18.1,39.4,21385
17031251400,31.8,36.6,21.5,0,10.2,0,0,1.9,6.4,1.3,9.6,6.1,15,9.2,26.9,6.6,4.9,12,0,75,20.8,4.2,0,1425,7.3,5,0.6,9.3,3.4,14.4,8.4,7.8,21.1,22.7,10.5,5,2.5,1.5,6.8,29.3,12.9,16.8,14.7,12.2,58.9,22.8,6.1,882,159,384,1348,2269,14.4,84.4,0,0,0,0.5,4.5,9,48.6,26.7,9.4,6.2,10.9,18.1,23.6,4.7,16.9,5.6,2.5,7.5,22254,23.5,3712,113,201,247,42,201,218,334,173,131,116,206,281,406,304,342,230,153,14,50.7,72.3,1557,52.5,2155,48.6,Central (Green Line),40280,Central-Lake,774.627907,601.4791667,1151.474178,Austin,25,56.1,4.2,27.1,13.4,18.1,39.4,21385
17031251800,11.2,23.2,19.1,1.2,45.2,0,0,3.3,18.2,2.4,16.7,10.7,2.4,15.5,26.1,2.1,0,2.7,0,86.9,9.7,3.3,0,1680,2.6,5.8,3.9,7.1,13.2,5.7,4.2,4.4,8.8,44.3,4,2.5,4.6,5,4.1,21.9,7.5,8.5,41.9,26.8,42.7,22.8,7.7,719,231,697,1070,4245,0.2,91.9,0,0,0,5.9,6,15.4,48.1,27.6,3.8,5.1,16.8,11.2,17.7,10.3,9.8,3.8,0.3,1.9,19685,47,5399,630,261,479,460,283,373,487,405,377,451,248,261,215,179,79,34,12,165,31.9,107.3,2794,32.2,2605,31.4,Cicero (Green Line),40480,Cicero-Lake,458.3255814,356.5208333,649.1830986,Austin,25,56.1,4.2,27.1,13.4,18.1,39.4,21385
17031251800,11.2,23.2,19.1,1.2,45.2,0,0,3.3,18.2,2.4,16.7,10.7,2.4,15.5,26.1,2.1,0,2.7,0,86.9,9.7,3.3,0,1680,2.6,5.8,3.9,7.1,13.2,5.7,4.2,4.4,8.8,44.3,4,2.5,4.6,5,4.1,21.9,7.5,8.5,41.9,26.8,42.7,22.8,7.7,719,231,697,1070,4245,0.2,91.9,0,0,0,5.9,6,15.4,48.1,27.6,3.8,5.1,16.8,11.2,17.7,10.3,9.8,3.8,0.3,1.9,19685,47,5399,630,261,479,460,283,373,487,405,377,451,248,261,215,179,79,34,12,165,31.9,107.3,2794,32.2,2605,31.4,Laramie (Green Line),40700,Laramie,382.1627907,301.625,655.2065728,Austin,25,56.1,4.2,27.1,13.4,18.1,39.4,21385
